title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
3D5Q 3D5Q - minimized,-128.654538030118,-82.9115057259478,12.0422989855397,-12.8523912375232,-19.4523649476406,-5.40328956426498,0.0,56.1810266208654,,-76.2583121611456,22.0359627958071,17.0279043468517,12.0422989855417,0.0,1.39762434903481,0.0,0.0,-15.6358620713196,,7.20399718569856,-241.295582334473,-98.924474903705,25.1492040177069,0.0,-3.58732065091882,0.0,0.0,-175.788813596857,,11.8558227993019,-8556.84625723511,-8703.16965917611,4140.30639709969,-162.637519175548,-609.229330329215,-12.7099570883459,-12.6854555820632,-2702.11935670931,,-494.601376274195,-241.295582334473,-98.924474903705,25.1492040177069,0.0,-3.58732065091882,0.0,0.0,-175.788813596857,,11.8558227993019,-8186.89613687051,-8521.33367854646,4103.11489409644,-149.785127938025,-586.189644730655,-7.30666752408097,-12.6854555820632,-2582.51156973332,,-430.198886912351,-150.690500825925,-99.9394100727986,-1.81898940354586e-12,-12.8523912375232,-20.8499892966754,-5.40328956426498,0.0,71.8168886921849,,-83.4623093468442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.68030287562745,-4.02045431344118,-26.41125622655
3D5Q 3D5Q - minimized,-124.570942454615,-67.7756617939795,17.5390788453487,-14.4709723892499,-17.9529470148233,-5.41813888759273,0.0,35.1076980784428,,-71.5999992927569,29.8564791261489,17.6605994387096,17.5390788453469,0.0,2.38761660822238,0.0,0.0,-17.9596614437356,,10.2288456776055,-241.885416119695,-100.38406987331,26.4862672859784,0.0,-4.44663669755284,0.0,0.0,-174.253857590877,,10.7128807560676,-8651.96347655824,-8747.27556343601,4137.07494200909,-158.271938727187,-592.740242799768,-13.0331433739636,-15.5844681082821,-2627.8523585483,,-634.280703573832,-241.885416119695,-100.38406987331,26.4862672859784,0.0,-4.44663669755284,0.0,0.0,-174.253857590877,,10.7128807560676,-8285.50711798393,-8579.11583176871,4093.04959587776,-143.800966337937,-570.340659087392,-7.61500448637085,-15.5844681082821,-2488.70619903586,,-573.393585037143,-154.427421580764,-85.4362612326895,1.36424205265939e-12,-14.4709723892499,-20.3405636230457,-5.41813888759273,0.0,53.0673595221783,,-81.8288449703625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.59522796780448,-3.89284195170671,-25.5729423145684
3D5Q 3D5Q - minimized,-118.241758035903,-36.8229514197228,5.53197990561057,-12.8557320522748,-15.8998938987097,-4.7111644158941,0.0,12.6503735181373,,-66.1343696730453,8.55173507839396,8.94114891020001,5.53197990560989,0.0,1.45402700851205,0.0,0.0,-13.5922479262906,,6.21682718036266,-230.372702066385,-92.208663001583,33.4553899656697,0.0,-3.49253608640224,0.0,0.0,-180.948531399843,,12.8216384557726,-8664.9200055818,-8840.44659625555,4093.8460201796,-163.079800354642,-591.012542137655,-14.8639161924547,-10.958727828317,-2632.60999360923,,-505.794449383562,-230.372702066385,-92.208663001583,33.4553899656697,0.0,-3.49253608640224,0.0,0.0,-180.948531399843,,12.8216384557726,-8316.30554547951,-8711.41498183424,4054.85865030832,-150.224068302367,-571.620112152543,-10.1527517765606,-10.958727828317,-2464.31183572752,,-452.481718166289,-126.793493114297,-45.7641003299232,9.09494701772928e-13,-12.8557320522748,-17.3539209072217,-4.7111644158941,0.0,26.2426214444281,,-72.3511968534079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.46336995908132,-3.69505493862198,-24.2736355513002
3D5Q 3D5Q - minimized,-104.677369227255,-68.785348283056,13.3372906108852,-12.1336532750134,-15.7342353713685,-5.0073420375857,0.0,46.2121956594374,,-62.56627653055,19.6030214080428,11.568657808932,13.3372906108836,0.0,1.20720834609711,0.0,0.0,-12.9269931163477,,6.41685775847798,-236.291519590697,-94.5547561762813,28.4713283935664,0.0,-3.42904566844111,0.0,0.0,-177.245948564515,,10.466902424974,-8668.4760473437,-8670.49640908549,4167.90466393505,-155.266362331155,-584.351316541188,-12.883791195473,-10.8688836591172,-2709.92223323224,,-692.591715234095,-236.291519590697,-94.5547561762813,28.4713283935664,0.0,-3.42904566844111,0.0,0.0,-177.245948564515,,10.466902424974,-8327.50715852575,-8507.15630462615,4126.0960449306,-143.132709056142,-565.188035501378,-7.87644915788733,-10.8688836591172,-2578.88848032716,,-640.492341128519,-124.280390635298,-80.3540060919877,1.81898940354586e-12,-12.1336532750134,-16.9414437174656,-5.0073420375857,0.0,59.139188775785,,-68.9831342890279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.1807785255678,-3.2711677883517,-21.4890268319568
3D5Q 3D5Q - minimized,-109.032806149387,-108.101630907124,10.8798552756502,-9.94008690682605,-14.5471924774801,-4.28840106718509,0.0,95.4648246287747,,-78.5001746952007,23.0742109772702,8.37505452969171,10.879855275652,0.0,1.10561515144872,0.0,0.0,-4.17575216287582,,6.88943818335345,-244.849447874885,-87.9110136235681,22.8990883806445,0.0,-3.44800419078262,0.0,0.0,-184.243027236259,,7.85350879507952,-8635.69598197622,-8824.69479250479,4080.74164793376,-151.567422666305,-576.497777721697,-12.0953379119075,-10.7096341533885,-2557.2627319543,,-583.609932997595,-244.849447874885,-87.9110136235681,22.8990883806445,0.0,-3.44800419078262,0.0,0.0,-184.243027236259,,7.85350879507952,-8281.81372795195,-8628.6821479741,4046.96270427747,-141.627335759479,-558.502581053435,-7.80693684472243,-10.7096341533885,-2468.48452934682,,-512.963267097474,-132.107017126658,-116.476685436815,-1.81898940354586e-12,-9.94008690682605,-15.6528076289288,-4.28840106718509,0.0,99.6405767916508,,-85.3896128785542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.2715167947789,-3.40727519216836,-22.383146559798
3D5Q 3D5Q - minimized,-127.087771151051,-72.8899047657487,9.75508524964425,-10.5000207094611,-17.3431537972859,-5.26344484448668,0.0,47.497475779775,,-78.3438080634853,8.47886567844785,0.00199951493949868,9.7550852496446,0.0,0.139244835817294,0.0,0.0,-6.26914736439858,,4.85168344244509,-230.062812033855,-84.5614183407505,26.8382332142485,0.0,-2.57724127734403,0.0,0.0,-179.96948283558,,10.2070972055708,-8611.86211827041,-8722.28484273788,4134.1515192776,-150.827098717853,-592.593271578128,-14.851045336096,-6.56933428435423,-2658.01512256297,,-600.872922330722,-230.062812033855,-84.5614183407505,26.8382332142485,0.0,-2.57724127734403,0.0,0.0,-179.96948283558,,10.2070972055708,-8254.7115350855,-8564.83351963138,4097.55820081371,-140.327078008392,-572.672876503498,-9.58760049160933,-6.56933428435423,-2525.54311550716,,-532.736211472807,-135.566636829499,-72.8919042806883,-9.09494701772928e-13,-10.5000207094611,-17.4823986331032,-5.26344484448668,0.0,53.7666231441735,,-83.1954915059304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.64766189898023,-3.97149284847035,-26.0896175022276
3D5Q 3D5Q - minimized,-109.704099649618,-120.631252019155,10.096444157145,-10.9132338817885,-16.0106470444822,-4.16613021266927,0.0,96.8711301637036,,-64.9504108123829,12.7540270335923,6.54098073882618,10.0964441571455,0.0,-0.0977843008046526,0.0,0.0,-8.0570474450019,,4.27143388342665,-231.530430528939,-90.5631365613518,27.5518313920384,0.0,-2.0425760992716,0.0,0.0,-180.605150929398,,14.1286016690446,-8583.60398184141,-8613.98817419047,4121.65056354166,-148.208653456257,-585.2159987476,-16.1552657159488,-8.54081051245943,-2715.74602754753,,-617.399615212813,-231.530430528939,-90.5631365613518,27.5518313920384,0.0,-2.0425760992716,0.0,0.0,-180.605150929398,,14.1286016690446,-8242.36945166285,-8402.79378560996,4084.00228799248,-137.295419574468,-567.162775603847,-11.9891355032795,-8.54081051245943,-2632.01200678183,,-566.577806069474,-122.45812668321,-127.172232757981,-4.54747350886464e-13,-10.9132338817885,-15.9128627436776,-4.16613021266927,0.0,104.928177608705,,-69.2218446958095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.28550207603371,-3.42825311405056,-22.520955182092
3D5Q 3D5Q - minimized,-111.353345336764,-73.7605906036406,10.3110822968911,-10.3525049927331,-14.1115283134604,-5.03498284310846,0.0,63.8939919248164,,-82.2988128055275,11.9902251752881,4.9930611260676,10.3110822968925,0.0,0.695730363005619,0.0,0.0,-5.30603802105827,,1.29638941038077,-233.621663361693,-86.9926883767842,26.7691206374462,0.0,-3.02024974956831,0.0,0.0,-182.438239820765,,12.0603939479783,-8558.63963054041,-8766.03732321171,4239.10339459291,-152.857530448707,-585.496532379351,-14.0873803159108,-18.8866631901751,-2625.59506940482,,-634.782526182642,-233.621663361693,-86.9926883767842,26.7691206374462,0.0,-3.02024974956831,0.0,0.0,-182.438239820765,,12.0603939479783,-8213.66462184195,-8605.28404423129,4202.02319165857,-142.505025455973,-568.364754316323,-9.05239747280238,-18.8866631901751,-2507.05082150887,,-564.544107325093,-123.343570512052,-78.7536517297085,-9.09494701772928e-13,-10.3525049927331,-14.8072586764661,-5.03498284310846,0.0,69.200029945875,,-83.5952022159082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.31986136118257,-3.47979204177386,-22.8595258309839
3D5Q 3D5Q - minimized,-113.636163845906,-24.7421989175,11.3723507315844,-10.805068708581,-16.1144246146199,-5.4430719292289,0.0,15.0277003396222,,-82.9314507471855,15.3055128127936,4.19866479780221,11.3723507315868,0.0,0.219337625482032,0.0,0.0,-1.10959513177443,,0.624754789696921,-237.994161113532,-85.499195355366,22.4327636129133,0.0,-2.38630343556479,0.0,0.0,-188.05797621945,,15.5165502839362,-8599.233346799,-8548.22491686389,4146.77775661896,-155.859627385014,-572.969790117472,-19.3386594722117,-11.5298112928149,-2843.61798280653,,-594.470315480032,-237.994161113532,-85.499195355366,22.4327636129133,0.0,-2.38630343556479,0.0,0.0,-188.05797621945,,15.5165502839362,-8247.60302183957,-8437.98352259102,4112.97264227447,-145.054558676433,-554.469062067287,-13.8955875429828,-11.5298112928149,-2670.58770692671,,-527.055415016783,-128.941676658698,-28.940863715301,-1.81898940354586e-12,-10.805068708581,-16.3337622401019,-5.4430719292289,0.0,16.137295471397,,-83.5562055368824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.36742008012303,-3.55113012018455,-23.3281614927088
3D5Q 3D5Q - minimized,-106.456738386329,-153.637697154249,14.7893027099317,-11.0190990737564,-17.1865665987303,-4.5537671192459,0.0,136.617176358329,,-71.4660875086061,20.9116734936941,6.11136314838288,14.7893027099334,0.0,0.0685973743425787,0.0,0.0,-3.3120309651855,,3.25444122622058,-236.889256034397,-87.9639575900513,25.1114893449711,0.0,-2.37197206013911,0.0,0.0,-187.718516617143,,16.0537008879654,-8597.94510339421,-8837.5561420107,4200.99691270951,-148.863364928315,-589.875542020241,-14.3669681243816,-11.0170785701531,-2547.29319821179,,-649.969722238141,-236.889256034397,-87.9639575900513,25.1114893449711,0.0,-2.37197206013911,0.0,0.0,-187.718516617143,,16.0537008879654,-8254.59910897348,-8595.9544872664,4161.09612065461,-137.844265854559,-570.317003361372,-9.81320100513571,-11.0170785701531,-2496.19185795297,,-594.5573356175,-127.368411880023,-159.749060302631,-1.81898940354586e-12,-11.0190990737564,-17.255163973073,-4.5537671192459,0.0,139.929207323515,,-74.7205287348266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.21784871638185,-3.32677307457277,-21.8543102918447
