title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
complex 40 - minimized,-118.438378636467,-106.971397725767,10.1852036253149,-14.0657196459726,-17.0719229063424,-3.3660647767835,0.0,83.2000241818671,,-70.3485013887798,15.9711186478374,0.726792039029647,10.1852036253164,0.0,1.26640072046059,0.0,0.0,-2.89819670711381,,6.69091897014475,-234.209762868532,-79.6332314395146,26.4962068208386,0.0,-3.35568201472801,0.0,0.0,-189.589047616818,,11.8719913816904,-7262.50700006721,-8614.79904844007,4128.42537996999,-160.713909194862,-606.969773006856,-13.8789557402817,-16.451988983528,-1446.88005742897,,-531.238647242636,-234.209762868532,-79.6332314395146,26.4962068208386,0.0,-3.35568201472801,0.0,0.0,-189.589047616818,,11.8719913816904,-6909.85885856222,-8428.19441927479,4091.74396952384,-146.648189548889,-586.542168085785,-10.5128909634982,-16.451988983528,-1340.49103399402,,-472.762137235547,-134.409497284304,-107.698189764797,-1.36424205265939e-12,-14.0657196459726,-18.338323626803,-3.3660647767835,0.0,86.0982208889809,,-77.0394203589245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.46746622159306,-3.70119933238959,-24.3139994369464
complex 40 - minimized,-128.292829989955,-134.975787734989,12.8204764766215,-13.0099218897773,-17.6966593208406,-3.90969346576439,0.0,106.699098444442,,-78.2203424996436,16.3043308423848,4.82753197603489,12.8204764766206,0.0,0.130536101730373,0.0,0.0,-6.5618428326427,,5.08762912064183,-238.917561331011,-76.6500303052174,20.8480261858529,0.0,-2.30957041716896,0.0,0.0,-193.729931503414,,12.923944708936,-7303.42744674548,-8613.90376988316,4160.5355211335,-159.520749561109,-591.098945914271,-16.146212077401,-7.64151773514286,-1559.05136984385,,-516.600402864044,-238.917561331011,-76.6500303052174,20.8480261858529,0.0,-2.30957041716896,0.0,0.0,-193.729931503414,,12.923944708936,-6936.21705542451,-8402.27795184295,4126.86701847102,-146.510827671332,-571.092716176262,-12.2365186116367,-7.64151773514286,-1472.02053678488,,-451.304005073336,-144.59716083234,-139.803319711025,9.09494701772928e-13,-13.0099218897773,-17.827195422571,-3.90969346576439,0.0,113.260941277084,,-83.3079716202855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.67276729145739,-4.00915093718609,-26.3370018405469
complex 40 - minimized,-107.923558982933,-82.7206380117641,7.89035535074709,-11.4367971475773,-15.5333889924724,-3.20129530088641,0.0,61.2293487776142,,-64.1511436585895,16.4817200649619,11.4016822431071,7.89035535074623,0.0,0.691150677023129,0.0,0.0,-12.8941762188143,,9.39270801289935,-239.516123528683,-90.6446412869113,26.6983558068845,0.0,-3.1033649942684,0.0,0.0,-180.917229846847,,8.45075679245879,-7324.89386365823,-8510.62770126024,4094.98003837893,-147.811546000132,-588.781521036337,-13.309081925778,-7.56047350160589,-1575.76766732169,,-576.015910991381,-239.516123528683,-90.6446412869113,26.6983558068845,0.0,-3.1033649942684,0.0,0.0,-180.917229846847,,8.45075679245879,-6977.45418114661,-8337.26242196156,4060.3913272213,-136.374748852555,-570.144767049596,-10.1077866248916,-7.56047350160589,-1456.07978625245,,-520.31552412525,-124.405279047895,-94.1223202548717,9.09494701772928e-13,-11.4367971475773,-16.2245396694956,-3.20129530088641,0.0,74.1235249964284,,-73.5438516714888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.24840747881111,-3.37261121821666,-22.1554312255364
complex 40 - minimized,-104.534559309441,-89.9965880291147,15.039810243687,-11.9547553135781,-16.3513285258733,-3.64931669071822,0.0,68.1632830759747,,-65.7856640698119,13.6961575198855,-4.77952825110017,15.0398102436826,0.0,-0.114421222583072,0.0,0.0,0.607280658463992,,2.94301609142213,-237.196966091595,-74.6316236852204,20.6080049285367,0.0,-2.16075733454878,0.0,0.0,-195.327188202796,,14.314598202433,-7288.49915515918,-8566.24225631113,4114.78389891798,-146.711659562461,-593.416540081141,-12.5900400321519,-6.67696703896377,-1519.05460818072,,-558.590982870588,-237.196966091595,-74.6316236852204,20.6080049285367,0.0,-2.16075733454878,0.0,0.0,-195.327188202796,,14.314598202433,-6946.76762975814,-8401.6140445968,4079.13608374575,-134.756904248882,-574.904454220719,-8.94072334143372,-6.67696703896377,-1391.8907030539,,-507.119917003209,-118.230716829326,-85.2170597780132,4.09272615797818e-12,-11.9547553135781,-16.2369073032902,-3.64931669071822,0.0,67.5560024175106,,-68.728680161234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.17780331894668,-3.26670497842002,-21.459709643548
complex 40 - minimized,-127.305056203088,-95.2642673585324,13.8321827193049,-12.4863054865745,-16.665652978112,-3.40069774082798,0.0,74.4716599270469,,-87.7919752853896,13.2149561355043,-6.68126130931624,13.8321827193077,0.0,-0.143313305360545,0.0,0.0,6.61565014552446,,-0.408302114651255,-236.399024505893,-74.3155236407785,23.1844449051421,0.0,-2.15544240594357,0.0,0.0,-199.174276734753,,16.0617733704404,-7257.64267715633,-8599.74367518587,4097.8061114054,-157.309998874333,-597.291470864262,-15.2521153593215,-9.21578069133091,-1513.17431626271,,-463.461431323898,-236.399024505893,-74.3155236407785,23.1844449051421,0.0,-2.15544240594357,0.0,0.0,-199.174276734753,,16.0617733704404,-6893.93859644735,-8430.16388418656,4060.78948378095,-144.823693387758,-578.470375480207,-11.8514176184936,-9.21578069133091,-1388.47169945501,,-391.731229408949,-140.520012338593,-88.5830060492153,-2.72848410531878e-12,-12.4863054865745,-16.5223396727514,-3.40069774082798,0.0,67.8560097815225,,-87.3836731707383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.65218867089768,-3.97828300634652,-26.1342235555501
complex 40 - minimized,-108.965650625708,-87.425143167382,14.5990027122857,-10.0545662855423,-14.9109008942979,-3.96260331400297,0.0,69.5785358812363,,-76.7899755580079,15.2729094392896,-5.8943308224071,14.599002712284,0.0,-0.194936023620722,0.0,0.0,5.3385313009951,,1.42464227203844,-237.097403402591,-73.4971572762601,20.5931381186966,0.0,-2.16164889353097,0.0,0.0,-196.358623333466,,14.3268879819686,-7309.80090935422,-8622.3043561754,4120.54617278042,-150.790205221651,-586.822386986658,-15.4859895254495,-4.57542115130076,-1468.64207289324,,-581.726650180938,-237.097403402591,-73.4971572762601,20.5931381186966,0.0,-2.16164889353097,0.0,0.0,-196.358623333466,,14.3268879819686,-6963.73785532592,-8461.38205573176,4085.35403194944,-140.735638936109,-569.749837198829,-11.5233862114465,-4.57542115130076,-1341.86198544101,,-519.263562604899,-124.238560064998,-81.5308123449759,1.81898940354586e-12,-10.0545662855423,-14.7159648706771,-3.96260331400297,0.0,64.2400045802415,,-78.2146178300463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.27011772136891,-3.40517658205337,-22.3693603244262
complex 40 - minimized,-106.43925795105,-70.4407415166479,14.6509520258696,-8.79027920077735,-14.4763159470099,-2.80925980816253,0.0,54.683064454719,,-79.2566779590406,13.9504819228174,-4.95448766508991,14.6509520258682,0.0,-0.243264410489693,0.0,0.0,3.90213468314801,,0.595147289380659,-237.160274699079,-73.3132889323979,20.5033106357213,0.0,-2.17107756193031,0.0,0.0,-196.456186465197,,14.2769676247254,-7223.24957362047,-8641.97837653675,4198.83817986977,-151.525964988042,-595.210639161929,-16.3801251996736,-7.58657421591304,-1517.25166867228,,-492.154404715661,-237.160274699079,-73.3132889323979,20.5033106357213,0.0,-2.17107756193031,0.0,0.0,-196.456186465197,,14.2769676247254,-6879.65004097034,-8498.22434608771,4163.68391720818,-142.735685787265,-578.563245652989,-13.5708653915111,-7.58657421591304,-1375.4785466618,,-427.174694381346,-120.389739873868,-65.4862538515572,1.81898940354586e-12,-8.79027920077735,-14.2330515365202,-2.80925980816253,0.0,50.7809297715712,,-79.8518252484212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.21748454064688,-3.32622681097033,-21.8507217650647
complex 40 - minimized,-110.326505599937,-103.09854282748,16.9861342131817,-9.52659239520233,-15.0592539975606,-3.14759433060077,0.0,85.4474913055517,,-81.9281475678239,15.6917306888686,-8.29127666005033,16.9861342131859,0.0,-0.150280766759701,0.0,0.0,6.37992754645757,,0.767226356035415,-237.428210578397,-73.4605555027571,20.5825528503289,0.0,-2.16186447581718,0.0,0.0,-196.699644099189,,14.3113006490367,-7338.85358603937,-8652.21563373426,4137.1899812299,-147.586204904796,-591.120394041595,-15.4277744258094,-4.94701568780837,-1470.78565390538,,-593.960890569624,-237.428210578397,-73.4605555027571,20.5825528503289,0.0,-2.16186447581718,0.0,0.0,-196.699644099189,,14.3113006490367,-6991.09886986104,-8475.65653540402,4099.62129416639,-138.059612509594,-573.899275568217,-12.2801800952086,-4.94701568780837,-1359.53350111175,,-526.344043650837,-126.018236288805,-94.8072661674305,-3.63797880709171e-12,-9.52659239520233,-14.9089732308009,-3.14759433060077,0.0,79.0675637590941,,-82.6953739238593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.29846886666536,-3.44770329999804,-22.6487277681392
complex 40 - minimized,-99.2403825795918,-87.419688521235,13.1779141491334,-8.47313540150097,-15.3661382929258,-3.34363822033388,0.0,75.9125977443337,,-73.7282940370648,14.0957694599886,-1.86989216301176,13.1779141491342,0.0,-0.260108474986131,0.0,0.0,1.91001639324725,,1.13783955560534,-237.077105122875,-73.5013881482456,20.5725194907933,0.0,-2.16257856555525,0.0,0.0,-196.310535089528,,14.3248771896611,-7327.94068163851,-8581.09857215681,4110.83040313342,-143.722621173621,-593.67840396553,-16.6862324423794,-10.2844400294518,-1494.10781284809,,-599.193002156043,-237.077105122875,-73.5013881482456,20.5725194907933,0.0,-2.16257856555525,0.0,0.0,-196.310535089528,,14.3248771896611,-6991.62319393604,-8420.17749548733,4077.07996949349,-135.24948577212,-576.149687107049,-13.3425942220455,-10.2844400294518,-1373.70987550289,,-539.789585308639,-113.33615203958,-85.5497963582238,-9.09494701772928e-13,-8.47313540150097,-15.1060298179397,-3.34363822033388,0.0,74.0025813510865,,-74.8661335926701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.06750797040816,-3.10126195561224,-20.3728777271492
complex 40 - minimized,-115.385889291316,-84.8641453168675,13.9295283311649,-8.94284179244971,-16.5865955625699,-3.5260269919471,0.0,61.2103249014253,,-76.6061328600718,14.3813936541262,-3.1441517214222,13.9295283311665,0.0,-0.306218656855382,0.0,0.0,2.98628529638029,,0.915950404857057,-237.522464418857,-74.6058101665813,20.6065872400461,0.0,-2.16232270093254,0.0,0.0,-195.65795197489,,14.2970331835011,-7277.61749956039,-8624.22092509218,4182.66345772528,-151.125390592679,-602.502956573315,-16.2638337937949,-5.61088200834615,-1492.61035065354,,-567.946618571815,-237.522464418857,-74.6058101665813,20.6065872400461,0.0,-2.16232270093254,0.0,0.0,-195.65795197489,,14.2970331835011,-6924.70914585021,-8464.75096960873,4148.12734215407,-142.182548800229,-583.754038309813,-12.7378068018478,-5.61088200834615,-1358.16272358007,,-505.637518895245,-129.767282945442,-81.7199935954468,-1.81898940354586e-12,-8.94284179244971,-16.2803769057145,-3.5260269919471,0.0,58.2240396050449,,-77.5220832649289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.40387269356908,-3.60580904035362,-23.687359448509
